Timestamp,Are you a native or non-native English speaker?,What is your principal field of study?  ,"Have you ever heard of Artificial Intelligence (AI) tools, such as ChatGPT, Grammarly, Claude, etc.?  ","Do you use AI tools (such as ChatGPT, Grammarly, or any other AI tool) in your academic life? Please answer 'Yes' even if you use them only rarely; you will have the opportunity to specify how often in the next question.  ","How frequently do you use AI tools (e.g., ChatGPT, Grammarly, Claude, etc.)? A rating of 1 indicates very rare use, while a rating of 5 indicates daily use. Higher numbers represent more frequent usage.  ",For which specific purposes do you use these AI tools? (Select all that apply)  ,Which AI tool do you use most frequently?  (Select all that apply),Do you consent to participate in this study?
9/27/2024 2:41:59,Native English Speaker,Mathematics,Yes,Yes,3,"Completing Assignments, Proofreading and Grammar Checking, Solving Mathematical Problems","ChatGPT, chegg",I do consent
9/27/2024 2:42:00,Native English Speaker,Exercise Science,Yes,Yes,2,"Learning and Studying new topics, Language Translation",ChatGPT,I do consent
9/27/2024 2:42:26,Native English Speaker,Business Administration,Yes,Yes,3,"Completing Assignments, Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Organizing Notes and Information, Solving Mathematical Problems","ChatGPT, Grammarly",I do consent
9/27/2024 2:42:47,Native English Speaker,Exercise Science,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Language Translation, Organizing Notes and Information","ChatGPT, Grammarly",I do consent
9/27/2024 2:42:48,Native English Speaker,Accounting,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Language Translation",ChatGPT,I do consent
9/27/2024 2:44:37,Native English Speaker,Business Administration,Yes,Yes,2,Proofreading and Grammar Checking,"ChatGPT, Snapchat AI",I do consent
9/27/2024 15:23:47,Native English Speaker,Business Administration,Yes,Yes,1,"Generating Ideas or Brainstorming, Organizing Notes and Information","ChatGPT, Snapchat AI",I do consent
9/27/2024 16:05:43,Native English Speaker,Business Administration,Yes,Yes,3,"Generating Ideas or Brainstorming, Learning and Studying new topics","ChatGPT, Grammarly",I do consent
9/27/2024 16:05:43,Native English Speaker,Business Administration,Yes,Yes,4,"Completing Assignments, Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Language Translation, Creating Content (e.g., Essays, Reports, Presentations), Organizing Notes and Information, Solving Mathematical Problems","ChatGPT, Grammarly, Snapchat AI",I do consent
9/27/2024 16:05:57,Native English Speaker,Business Administration,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Language Translation, Creating Content (e.g., Essays, Reports, Presentations), Solving Mathematical Problems","ChatGPT, Grammarly",I do consent
9/27/2024 16:06:37,Native English Speaker,Business Administration,Yes,Yes,5,"Completing Assignments, Proofreading and Grammar Checking","ChatGPT, Grammarly",I do consent
9/27/2024 16:06:48,Native English Speaker,Business Administration,Yes,Yes,3,"Generating Ideas or Brainstorming, Organizing Notes and Information","ChatGPT, QuillBot",I do consent
9/27/2024 16:06:50,Native English Speaker,Business Administration,Yes,Yes,4,"Completing Assignments, Proofreading and Grammar Checking, Generating Ideas or Brainstorming","ChatGPT, Grammarly, Snapchat AI",I do consent
9/27/2024 16:07:06,Native English Speaker,Art,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming","ChatGPT, Grammarly",I do consent
9/27/2024 16:09:13,Native English Speaker,Business Administration,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming",Grammarly,I do consent
9/27/2024 16:29:38,Native English Speaker,Communication,Yes,No,2,"Proofreading and Grammar Checking, Language Translation","ChatGPT, QuillBot",I do consent
9/27/2024 17:10:06,Native English Speaker,Business Administration,Yes,Yes,3,Learning and Studying new topics,"ChatGPT, Grammarly",I do consent
9/27/2024 17:14:40,Native English Speaker,Chemestry,Yes,No,1,None,None,I do consent
9/27/2024 18:00:53,,,,,,,,I do NOT consent
9/27/2024 18:01:37,Native English Speaker,Business Administration,Yes,Yes,2,"Proofreading and Grammar Checking, Language Translation, Solving Mathematical Problems",Snapchat AI,I do consent
9/27/2024 18:01:46,Native English Speaker,Accounting,Yes,No,,,,I do consent
9/27/2024 18:01:50,Native English Speaker,Religion,Yes,No,1,"Generating Ideas or Brainstorming, Language Translation","ChatGPT, Snapchat AI",I do consent
9/27/2024 18:02:00,Non-Native English Speaker,Computer Science,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Language Translation","ChatGPT, Grammarly",I do consent
9/27/2024 18:02:14,Native English Speaker,Business Administration,Yes,Yes,3,Generating Ideas or Brainstorming,ChatGPT,I do consent
9/27/2024 18:02:24,Native English Speaker,Business Administration,Yes,Yes,1,"Generating Ideas or Brainstorming, Language Translation","ChatGPT, Snapchat AI",I do consent
9/27/2024 18:02:25,Native English Speaker,Anthropology,Yes,No,1,"Learning and Studying new topics, Organizing Notes and Information",Snapchat AI,I do consent
9/27/2024 18:02:31,Native English Speaker,Business Administration,Yes,Yes,3,Proofreading and Grammar Checking,ChatGPT,I do consent
9/27/2024 18:02:33,Native English Speaker,Business Administration,Yes,Yes,2,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming","ChatGPT, Grammarly",I do consent
9/27/2024 18:02:55,Native English Speaker,Communication,Yes,No,1,,,I do consent
9/27/2024 18:03:13,Native English Speaker,Accounting,Yes,Yes,2,"Proofreading and Grammar Checking, Learning and Studying new topics, Coding or Debugging Assistance, Organizing Notes and Information, Solving Mathematical Problems","ChatGPT, Grammarly",I do consent
9/27/2024 18:03:17,Native English Speaker,Business Administration,Yes,Yes,5,"Completing Assignments, Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Creating Content (e.g., Essays, Reports, Presentations), Organizing Notes and Information, Solving Mathematical Problems",Grammarly,I do consent
9/27/2024 18:05:20,Native English Speaker,Exercise Science,Yes,Yes,2,"Generating Ideas or Brainstorming, Solving Mathematical Problems",Grammarly,I do consent
10/2/2024 3:26:32,Native English Speaker,Mathematics,Yes,Yes,4,"Generating Ideas or Brainstorming, Learning and Studying new topics, Coding or Debugging Assistance, Refreshing old topics ",ChatGPT,I do consent
10/2/2024 3:34:25,Native English Speaker,Biology,Yes,No,1,I don’t,None,I do consent
10/2/2024 4:03:19,Native English Speaker,Art,Yes,No,,,,I do consent
10/2/2024 4:36:25,Native English Speaker,Biology,Yes,Yes,2,"Generating Ideas or Brainstorming, Organizing Notes and Information, To summarize main ideas of passages I do not have time to read or that I do not understand.",ChatGPT,I do consent
10/2/2024 16:04:44,Native English Speaker,Computer Science,Yes,Yes,4,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Coding or Debugging Assistance","ChatGPT, Grammarly, QuillBot",I do consent
10/2/2024 16:06:14,Native English Speaker,Business Administration,Yes,Yes,2,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Organizing Notes and Information","ChatGPT, Grammarly",I do consent
10/2/2024 16:06:41,Native English Speaker,Exercise Science,Yes,Yes,2,Proofreading and Grammar Checking,"ChatGPT, Grammarly",I do consent
10/2/2024 16:07:05,Native English Speaker,Business Administration,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Organizing Notes and Information","ChatGPT, Grammarly",I do consent
10/2/2024 16:07:08,,,,,,,,I do NOT consent
10/2/2024 16:07:20,Native English Speaker,Accounting,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Language Translation, Creating Content (e.g., Essays, Reports, Presentations), Organizing Notes and Information, Solving Mathematical Problems","ChatGPT, Grammarly",I do consent
10/2/2024 16:07:39,Native English Speaker,Computer Science,Yes,Yes,2,"Generating Ideas or Brainstorming, Learning and Studying new topics, Language Translation, Solving Mathematical Problems","ChatGPT, Grammarly",I do consent
10/2/2024 16:09:11,Native English Speaker,Exercise Science,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Language Translation, Solving Mathematical Problems","ChatGPT, Grammarly",I do consent
10/2/2024 16:30:47,Native English Speaker,Business Administration,Yes,Yes,4,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Organizing Notes and Information","ChatGPT, Grammarly, QuillBot",I do consent
10/2/2024 16:48:46,Native English Speaker,Biology,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming","ChatGPT, Grammarly, Snapchat AI",I do consent
10/2/2024 16:57:05,Native English Speaker,Education,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Organizing Notes and Information, Solving Mathematical Problems","ChatGPT, Grammarly",I do consent
10/2/2024 17:03:24,Native English Speaker,English,Yes,Yes,3,"Completing Assignments, Proofreading and Grammar Checking, Generating Ideas or Brainstorming","ChatGPT, Grammarly",I do consent
10/3/2024 4:33:07,Native English Speaker,Computer Science,Yes,No,1,,,I do consent
10/7/2024 17:02:24,Native English Speaker,Computer Science,Yes,Yes,1,Proofreading and Grammar Checking,Grammarly,I do consent
10/14/2024 15:35:12,Native English Speaker,Biology,Yes,Yes,1,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Coding or Debugging Assistance, Language Translation",ChatGPT,I do consent
10/14/2024 16:19:23,Native English Speaker,Business Administration,Yes,Yes,2,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Language Translation, Organizing Notes and Information","ChatGPT, Grammarly",I do consent
10/14/2024 16:19:29,Native English Speaker,Psychology,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Language Translation, Organizing Notes and Information","ChatGPT, Grammarly",I do consent
10/14/2024 16:19:35,Native English Speaker,Business Administration,Yes,Yes,3,"Generating Ideas or Brainstorming, Organizing Notes and Information, Just searching information. Gives a more direct answer than searching through Google. ","ChatGPT, Grammarly",I do consent
10/14/2024 16:19:55,Native English Speaker,Psychology,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming","ChatGPT, Grammarly",I do consent
10/14/2024 16:19:55,Native English Speaker,Business Administration,Yes,Yes,4,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Solving Mathematical Problems","ChatGPT, Grammarly",I do consent
10/14/2024 16:20:07,Native English Speaker,Psychology,Yes,Yes,1,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Organizing Notes and Information","Grammarly, Snapchat AI",I do consent
10/14/2024 16:20:19,Native English Speaker,Business Administration,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics",ChatGPT,I do consent
10/14/2024 16:20:39,Native English Speaker,Exercise Science,Yes,Yes,4,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming",ChatGPT,I do consent
10/14/2024 16:20:42,Non-Native English Speaker,Business Administration,Yes,Yes,3,"Generating Ideas or Brainstorming, Learning and Studying new topics",ChatGPT,I do consent
10/14/2024 16:22:25,Native English Speaker,Business Administration,Yes,Yes,4,"Completing Assignments, Proofreading and Grammar Checking, Solving Mathematical Problems","ChatGPT, Grammarly",I do consent
10/14/2024 16:29:35,Native English Speaker,Psychology,Yes,Yes,1,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming",Grammarly,I do consent
10/14/2024 16:45:58,Native English Speaker,Psychology,Yes,No,1,,,I do consent
10/14/2024 16:46:31,Native English Speaker,Psychology,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Organizing Notes and Information",ChatGPT,I do consent
10/14/2024 17:01:23,Native English Speaker,Psychology,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Organizing Notes and Information","ChatGPT, Grammarly, QuillBot",I do consent
10/14/2024 17:05:02,Native English Speaker,Psychology,Yes,Yes,1,"Generating Ideas or Brainstorming, Organizing Notes and Information, Solving Mathematical Problems",QuillBot,I do consent
10/14/2024 17:10:01,Native English Speaker,Education,Yes,Yes,5,Proofreading and Grammar Checking,Grammarly,I do consent
10/14/2024 17:19:53,Native English Speaker,Exercise Science,Yes,No,,,,I do consent
10/14/2024 17:40:29,Native English Speaker,Psychology,Yes,No,3,"Generating Ideas or Brainstorming, Organizing Notes and Information, Creating flyers at work",ChatGPT,I do consent
10/14/2024 18:58:44,Native English Speaker,Psychology,Yes,Yes,3,"Proofreading and Grammar Checking, Learning and Studying new topics, Organizing Notes and Information, To create study tools (ex: Quizlets)","ChatGPT, Grammarly, Quizlet",I do consent
10/14/2024 19:23:14,Non-Native English Speaker,Chemestry,Yes,Yes,5,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Creating Content (e.g., Essays, Reports, Presentations), Organizing Notes and Information","ChatGPT, Grammarly",I do consent
10/14/2024 20:50:55,Native English Speaker,Psychology,Yes,Yes,5,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Organizing Notes and Information",ChatGPT,I do consent
10/14/2024 21:08:10,Native English Speaker,Business Administration,Yes,Yes,2,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Organizing Notes and Information","ChatGPT, Grammarly, QuillBot",I do consent
10/14/2024 21:08:14,Native English Speaker,Business Administration,Yes,Yes,3,"Completing Assignments, Language Translation",Microsoft’s ai ,I do consent
10/14/2024 21:08:20,Native English Speaker,Business Administration,Yes,Yes,2,"Proofreading and Grammar Checking, Learning and Studying new topics",Grammarly,I do consent
10/14/2024 21:08:24,Native English Speaker,Business Administration,Yes,Yes,4,"Proofreading and Grammar Checking, Language Translation, Solving Mathematical Problems",Grammarly,I do consent
10/14/2024 21:08:28,Native English Speaker,Business Administration,Yes,Yes,5,"Completing Assignments, Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Coding or Debugging Assistance, Language Translation, Creating Content (e.g., Essays, Reports, Presentations), Organizing Notes and Information, Solving Mathematical Problems","ChatGPT, Grammarly",I do consent
10/14/2024 21:09:00,Native English Speaker,Business Administration,Yes,Yes,5,"Completing Assignments, Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Creating Content (e.g., Essays, Reports, Presentations), Organizing Notes and Information, Solving Mathematical Problems","ChatGPT, Grammarly",I do consent
10/14/2024 21:09:35,Native English Speaker,Accounting,Yes,Yes,1,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Language Translation",Copilot,I do consent
10/14/2024 21:09:45,Native English Speaker,Business Administration,Yes,Yes,4,"Completing Assignments, Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics","ChatGPT, Snapchat AI",I do consent
10/14/2024 21:10:02,Native English Speaker,Business Administration,Yes,Yes,2,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Language Translation","ChatGPT, Grammarly",I do consent
10/14/2024 21:11:19,Native English Speaker,Business Administration,No,No,1,,,I do consent
10/14/2024 21:13:02,Native English Speaker,Business Administration,Yes,Yes,3,Proofreading and Grammar Checking,"ChatGPT, Grammarly",I do consent
